comp_id,العام,الفترة,المبيعات,تكاليف المبيعات,اجمالي الدخل,دخل العمليات,صافي الدخل,ربح السهم الصافي,عدد الأسهم,رأس المال
48,2009,الثالث,,,,1304.49,570.46,0.28,2054.8,20548
48,2009,الرابع,,,,1186.65,25.88,0.01,2054.8,20548
48,2009,سنة,,,,5160.28,2032.28,0.99,,
48,2010,الأول,,,,1205.11,620.81,0.3,2054.8,20548
48,2010,الثاني,,,,1359.78,446.77,0.22,2054.8,20548
48,2010,الثالث,,,,1158.18,418.94,0.2,2054.8,20548
48,2010,الرابع,,,,1116.35,396.64,0.19,2054.8,20548
48,2010,سنة,,,,4839.42,1883.16,0.91,,
48,2011,الأول,,,,1219.51,751.42,0.37,2054.8,20548
48,2011,الثاني,,,,1347.8,851.57,0.41,2054.8,20548
48,2011,الثالث,,,,1209.52,630.16,0.31,2054.8,20548
48,2011,الرابع,,,,1121.78,655.28,0.32,2054.8,20548
48,2011,سنة,,,,4898.61,2888.43,1.41,,
48,2012,الأول,,,,1235.04,854.19,0.42,2054.8,20548
48,2012,الثاني,,,,1377.72,914.98,0.45,2054.8,20548
48,2012,الثالث,,,,1325.49,655.74,0.32,2054.8,20548
48,2012,الرابع,,,,1228.22,815.39,0.4,2054.8,20548
48,2012,سنة,,,,5166.47,3240.3,1.59,,
48,2013,الأول,,,,1437.55,947.86,0.46,2054.8,20548
48,2013,الثاني,,,,1501.66,1004.67,0.49,2054.8,20548
48,2013,الثالث,,,,1474.03,845.78,0.41,2054.8,20548
48,2013,الرابع,,,,1400.43,975.51,0.47,2054.8,20548
48,2013,سنة,,,,5813.67,3773.82,1.83,,
48,2014,الأول,,,,1620.94,1080.53,0.53,2054.8,20548
48,2014,الثاني,,,,1663.75,1157.23,0.56,2054.8,20548
48,2014,الثالث,,,,1654.6,1058.96,0.52,2054.8,20548
48,2014,الرابع,,,,1562.92,969.35,0.47,2054.8,20548
48,2014,سنة,,,,6502.21,4266.07,2.08,,
48,2015,الأول,,,,1717.18,1115.19,0.54,2054.8,20548
48,2015,الثاني,,,,1674.98,1137.26,0.55,2054.8,20548
48,2015,الثالث,,,,1689.26,1139.56,0.55,2054.8,20548
48,2015,الرابع,,,,1549.21,938.54,0.46,2054.8,20548
48,2015,سنة,,,,6630.63,4330.55,2.1,,
48,2016,الأول,,,,1795.56,1141.68,0.56,2054.8,20548
48,2016,الثاني,,,,1761.11,1151.65,0.56,2054.8,20548
48,2016,الثالث,,,,1687.3,994.82,0.48,2054.8,20548
48,2016,الرابع,,,,1664.64,606.58,0.3,2054.8,20548
48,2016,سنة,,,,6908.61,3894.73,1.9,,
48,2017,الأول,,,,1824.07,1035.98,0.5,2054.8,20548
48,2017,الثاني,,,,1800.61,1129.16,0.55,2054.8,20548
48,2017,الثالث,,,,1763.89,1083.32,0.53,2054.8,20548
48,2017,الرابع,,,,1738.34,706.11,0.34,2054.8,20548
48,2017,سنة,,,,7126.91,3954.57,1.92,,
48,2018,الأول,,,,1761.65,975.4,0.47,2054.8,20548
48,2018,الثاني,,,,1868.53,832.59,0.41,2054.8,20548
48,2018,الثالث,,,,1861.35,1061.37,0.52,2054.8,20548
48,2018,الرابع,,,,1831.32,-153.92,-0.07,2054.8,20548
48,2018,سنة,,,,7322.85,2715.44,1.33,,
48,2019,الأول,,,,1970.01,1108.55,0.54,2054.8,20548
48,2019,الثاني,,,,2010.61,-188.13,-0.09,2054.8,20548
48,2019,الثالث,,,,2669.65,1177.99,0.57,2054.8,20548
48,2019,الرابع,,,,2563.05,660.1,0.32,2054.8,20548
48,2019,سنة,,,,9213.32,2758.51,1.34,,
48,2020,الأول,,,,2368.89,975.59,0.47,2054.8,20548
48,2020,الثاني,,,,2318.1,-6862.85,-3.34,2054.8,20548
48,2020,الثالث,,,,2141.36,1049.99,0.51,2054.8,20548
48,2020,الرابع,,,,2049.61,681.88,0.33,2054.8,20548
48,2020,سنة,,,,8877.96,-4155.39,-2.03,,
48,2021,الأول,,,,2021.53,973.71,0.47,2054.8,20548
48,2021,الثاني,,,,1946.78,918.5,0.45,2054.8,20548
48,2021,الثالث,,,,1935.43,885.3,0.43,2054.8,20548
48,2021,الرابع,,,,2023.31,426.92,0.21,2054.8,20548
48,2021,سنة,,,,7927.05,3204.43,1.56,,
48,2022,الأول,,,,2111.65,1006.22,0.49,2054.8,20548
48,2022,الثاني,,,,2311.55,1082.67,0.53,2054.8,20548
48,2022,الثالث,,,,2563.59,1395.94,0.68,2054.8,20548
48,2022,الرابع,,,,,1389.33,0.68,2054.8,20548
48,2022,سنة,,,,6986.79,4874.16,2.38,,
45,2005,الثاني,,,,863.94,529.15,0.35,1500,15000
45,2005,الثالث,,,,793.25,520.27,0.35,1500,15000
45,2005,الرابع,,,,802.06,415.77,0.28,1500,15000
45,2005,سنة,,,,2459.25,1465.19,0.98,,
45,2006,الأول,,,,950.99,621.33,0.41,1500,15000
45,2006,الثاني,,,,1045.81,732.53,0.49,1500,15000
45,2006,الثالث,,,,929.83,591.09,0.39,1500,15000
45,2006,الرابع,,,,928.74,559.79,0.37,1500,15000
45,2006,سنة,,,,3855.37,2504.74,1.66,,
